"state","year","student_count"
"Alabama","2010","748889.0"
"Alabama","2011","738322.0"
"Alabama","2012","744621.0"
"Alabama","2013","744548.0"
"Alabama","2014","740081.0"
"Alabama","2015","734974.0"
"Alabama","2016","734652.0"
"Alabama","2017","744930.0"
"Alabama","2018","742199.0"
"Alabama","2019","739118.0"
"Alabama","2020","743012.0"
"Alaska","2010","131265.0"
"Alaska","2011","131704.0"
"Alaska","2012","130771.0"
"Alaska","2013","131091.0"
"Alaska","2014","130539.0"
"Alaska","2015","130718.0"
"Alaska","2016","132477.0"
"Alaska","2017","132712.0"
"Alaska","2018","132872.0"
"Alaska","2019","130963.0"
"Alaska","2020","132017.0"
"Arizona","2010","960620.0"
"Arizona","2011","946571.0"
"Arizona","2012","942738.0"
"Arizona","2013","941670.0"
"Arizona","2014","943799.0"
"Arizona","2015","935920.0"
"Arizona","2016","924190.0"
"Arizona","2017","926220.0"
"Arizona","2018","904845.0"
"Arizona","2019","910187.0"
"Arizona","2020","914333.0"
"Arkansas","2010","474897.0"
"Arkansas","2011","475551.0"
"Arkansas","2012","475671.0"
"Arkansas","2013","477716.0"
"Arkansas","2014","479881.0"
"Arkansas","2015","479682.0"
"Arkansas","2016","479177.0"
"Arkansas","2017","478996.0"
"Arkansas","2018","479959.0"
"Arkansas","2019","476638.0"
"Arkansas","2020","476465.0"
"California","2010","6196133.0"
"California","2011","6202805.0"
"California","2012","6203034.0"
"California","2013","6198380.0"
"California","2014","6205141.0"
"California","2015","6208816.0"
"California","2016","6202837.0"
"California","2017","6203156.0"
"California","2018","6193537.0"
"California","2019","5673177.0"
"California","2020","5622750.0"
"Colorado","2010","825242.0"
"Colorado","2011","834832.0"
"Colorado","2012","843120.0"
"Colorado","2013","851063.0"
"Colorado","2014","865231.0"
"Colorado","2015","872310.0"
"Colorado","2016","880675.0"
"Colorado","2017","885487.0"
"Colorado","2018","889506.0"
"Colorado","2019","889886.0"
"Colorado","2020","891187.0"
"Connecticut","2010","534800.0"
"Connecticut","2011","530132.0"
"Connecticut","2012","522451.0"
