"state","expenditure_title","year","amount","amount_z_score_avg"
"Alabama","teacher_salaries_vocational_education","2010","110309000.0","-0.000000000000000000167803030303030303"
"Alabama","teacher_salaries_vocational_education","2011","107614000.0","-0.000000000000000000614166666666666667"
"Alabama","teacher_salaries_vocational_education","2012","105162000.0","-0.000000000000000000225606060606060606"
"Alabama","teacher_salaries_vocational_education","2013","108247000.0","0.000000000000000000171343283582089552"
"Alabama","teacher_salaries_vocational_education","2014","110787000.0","0.000000000000000000656666666666666667"
"Alabama","teacher_salaries_vocational_education","2015","112340000.0","-0.000000000000000001386865671641791045"
"Alabama","teacher_salaries_vocational_education","2016","114102000.0","-0.000000000000000000231194029850746269"
"Alabama","teacher_salaries_vocational_education","2017","119964000.0","-0.000000000000000000191386861313868613"
"Alabama","teacher_salaries_vocational_education","2018","122486000.0","0.000000000000000000082335766423357664"
"Alabama","teacher_salaries_vocational_education","2019","126241000.0","0.000000000000000000511240875912408759"
"Alabama","tech_related_supplies_services","2019","136532000.0","0.000000000000000000529197080291970803"
"Alabama","cares_act_expenditure_tech_related_supplies_services","2020","68281000.0","0.000000000000000000657936507936507937"
"Alabama","teacher_salaries_vocational_education","2020","131253000.0","-0.000000000000000000114130434782608696"
"Alabama","tech_related_supplies_services","2020","203897000.0","-0.000000000000000000173985507246376812"
"Arizona","teacher_salaries_vocational_education","2010","25840000.0","-0.000000000000000001676000000000000000"
"Arizona","teacher_salaries_vocational_education","2011","10666000.0","-0.000000000000000003134400000000000000"
"Arizona","teacher_salaries_vocational_education","2012","15704000.0","0.000000000000000000770540540540540541"
"Arizona","teacher_salaries_vocational_education","2013","36115000.0","-0.000000000000000001218444444444444444"
"Arizona","teacher_salaries_vocational_education","2014","60302000.0","-0.000000000000000001116700000000000000"
"Arizona","teacher_salaries_vocational_education","2015","68289000.0","0.000000000000000000356153846153846154"
"Arizona","teacher_salaries_vocational_education","2016","70255000.0","-0.000000000000000000115428571428571429"
"Arizona","tech_related_supplies_services","2016","160817000.0","-0.000000000000000000321327014218009479"
"Arizona","teacher_salaries_vocational_education","2017","72473000.0","-0.000000000000000000538396226415094340"
"Arizona","tech_related_equipment","2017","39301000.0","-0.000000000000000000853577235772357724"
"Arizona","tech_related_supplies_services","2017","161201000.0","0.000000000000000000872857142857142857"
"Arizona","teacher_salaries_vocational_education","2018","31559000.0","0.000000000000000000038437500000000000"
"Arizona","tech_related_equipment","2018","48876000.0","-0.000000000000000000069782608695652174"
"Arizona","tech_related_supplies_services","2018","194554000.0","0.000000000000000001160524017467248908"
"Arizona","teacher_salaries_vocational_education","2019","94500000.0","-0.000000000000000000027297297297297297"
